list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds
1,0.000000348,0.000003272,0.000001142,0.000000516,0.000000497
5001,0.000153538,0.000133291,0.000067200,0.000064455,0.000065481
10001,0.000247041,0.000194983,0.000114693,0.000118112,0.000106775
15001,0.000357364,0.000275978,0.000148463,0.000150087,0.000141139
20001,0.000449327,0.000354264,0.000184995,0.000177601,0.000170858
25001,0.000568132,0.000449405,0.000232690,0.000243567,0.000222182
30001,0.000635594,0.000528675,0.000283790,0.000240171,0.000239915
35001,0.000745749,0.000566278,0.000291648,0.000287991,0.000277010
40001,0.000926642,0.000648746,0.000354143,0.000322988,0.000347683
45001,0.001009497,0.000697962,0.000375646,0.000345920,0.000358067
50001,0.001059450,0.000800644,0.000413883,0.000415274,0.000404261
55001,0.001158912,0.000830911,0.000439471,0.000420687,0.000410801
60001,0.001243558,0.000915655,0.000487133,0.000460934,0.000459724
65001,0.001357532,0.000975950,0.000525383,0.000491204,0.000504476
70001,0.001512571,0.001080282,0.000577222,0.000548072,0.000570825
75001,0.001625550,0.001175367,0.000642365,0.000640250,0.000592334
80001,0.001527512,0.001086650,0.000594099,0.000570573,0.000551216
85001,0.001764621,0.001271780,0.000699949,0.000656603,0.000641135
90001,0.001927353,0.001419082,0.000755891,0.000704948,0.000719567
95001,0.002029218,0.001414955,0.000792043,0.000742531,0.000741093
100001,0.001478741,0.001076627,0.000593244,0.000559108,0.000540405
105001,0.002336101,0.001579913,0.000891972,0.000810321,0.000838757
110001,0.002360875,0.001643504,0.000931956,0.000878009,0.000850840
115001,0.002151442,0.001520687,0.000832478,0.000788757,0.000838902
120001,0.002523730,0.001765421,0.000980564,0.000907336,0.000907645
125001,0.002571036,0.001803378,0.001016858,0.000934803,0.000949071
130001,0.002600016,0.001875541,0.001037121,0.000940244,0.000962783
135001,0.002860978,0.001963797,0.001122798,0.001022522,0.001019059
140001,0.002841022,0.001995418,0.001120811,0.001035424,0.001030052
145001,0.003096679,0.002193183,0.001216507,0.001113459,0.001142636
