list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds
1,0.000000325,0.000002162,0.000000952,0.000000532,0.000000512
100001,0.000404415,0.000297703,0.000170605,0.000165684,0.000153848
200001,0.000840064,0.000666972,0.000359811,0.000334085,0.000324295
300001,0.001274471,0.001020779,0.000569953,0.000503454,0.000487437
400001,0.001711851,0.001358522,0.000765393,0.000676003,0.000662448
500001,0.002136481,0.001705536,0.000960076,0.000838754,0.000824465
600001,0.002562400,0.002046469,0.001141169,0.001012145,0.000988322
700001,0.002982253,0.002381849,0.001344004,0.001182754,0.001164382
800001,0.003403197,0.002630974,0.001549313,0.001349454,0.001327468
900001,0.003798624,0.003026750,0.001736379,0.001521428,0.001495913
1000001,0.004234382,0.003428276,0.001927790,0.001696748,0.001668046
1100001,0.004613207,0.003749613,0.002119111,0.001873608,0.001845315
1200001,0.005059326,0.004071482,0.002304764,0.002068665,0.002031077
1300001,0.005454837,0.004422412,0.002491872,0.002292522,0.002208093
1400001,0.005888118,0.004745378,0.002688667,0.002482370,0.002396823
1500001,0.006358262,0.004895979,0.002891217,0.002684153,0.002593635
1600001,0.006702232,0.005360464,0.003056078,0.002895101,0.002786472
1700001,0.007188377,0.005780506,0.003253399,0.003104613,0.002979704
1800001,0.007566401,0.006112305,0.003446787,0.003279152,0.003216006
1900001,0.008075944,0.006456780,0.003651226,0.003471752,0.003407331
2000001,0.008494220,0.006826409,0.003838099,0.003673051,0.003611818
2100001,0.008901922,0.007107344,0.003998758,0.003826046,0.003797485
2200001,0.009395553,0.007170291,0.004190499,0.004016465,0.003985891
2300001,0.009627083,0.007720404,0.004395019,0.004220941,0.004190401
2400001,0.010182113,0.008190636,0.004600805,0.004420553,0.004385300
2500001,0.010507901,0.008484610,0.004764639,0.004585773,0.004565633
2600001,0.011037195,0.008853325,0.004991815,0.004782481,0.004759960
2700001,0.011441142,0.009195205,0.005172316,0.004953239,0.004934482
2800001,0.011868798,0.009485739,0.005326174,0.005116939,0.005127934
2900001,0.012393439,0.009468274,0.005575945,0.005331863,0.005336601
3000001,0.012642022,0.010057825,0.005710021,0.005491125,0.005520033
3100001,0.013220287,0.010569443,0.005948002,0.005711767,0.005682203
3200001,0.013952671,0.010892698,0.006143331,0.005895793,0.005864939
3300001,0.014859311,0.011243990,0.006339094,0.006085912,0.006092285
3400001,0.015312958,0.011561564,0.006492776,0.006232958,0.006281032
3500001,0.015622951,0.011843161,0.006688792,0.006397964,0.006921732
3600001,0.016197568,0.011787612,0.006926656,0.006797835,0.007248437
3700001,0.016475935,0.012444254,0.007102774,0.007414810,0.007435017
3800001,0.017110579,0.012992464,0.007623229,0.007647326,0.007644239
3900001,0.017391561,0.013264901,0.008117898,0.007845568,0.007828320
4000001,0.017967701,0.014025792,0.008376323,0.008035660,0.008025177
4100001,0.018399534,0.014591985,0.008570863,0.008252568,0.008220536
4200001,0.018820847,0.015303148,0.008785940,0.008449689,0.008424178
4300001,0.019315383,0.015325197,0.008948287,0.008636875,0.008648475
4400001,0.019497530,0.016113729,0.009170944,0.008821175,0.008822399
4500001,0.020238876,0.016705697,0.009380758,0.009148364,0.008966250
4600001,0.020459478,0.017022236,0.009590780,0.009307791,0.009167337
4700001,0.020547117,0.017159512,0.009348107,0.008986208,0.008941861
4800001,0.020675087,0.016949721,0.009414204,0.008899012,0.008884769
4900001,0.021013801,0.017286814,0.009735437,0.009285999,0.009081421
5000000,0.021455825,0.017030046,0.009947568,0.009551567,0.009399609
