list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds
1,0.000000300,0.000002128,0.000000957,0.000000605,0.000000511
100001,0.000429067,0.000298456,0.000170469,0.000158287,0.000160760
200001,0.000889887,0.000664253,0.000359684,0.000334729,0.000329587
300001,0.001339617,0.001019666,0.000569053,0.000508565,0.000495390
400001,0.001789342,0.001357623,0.000765936,0.000679157,0.000658545
500001,0.002259290,0.001709402,0.000961574,0.000860877,0.000834311
600001,0.002696523,0.002051552,0.001143221,0.001032058,0.001001672
700001,0.003143577,0.002380830,0.001344933,0.001211506,0.001168327
800001,0.003605592,0.002637524,0.001550173,0.001390926,0.001351468
900001,0.003992484,0.003036371,0.001740791,0.001575486,0.001528641
1000001,0.004448577,0.003423492,0.001926117,0.001755818,0.001695563
1100001,0.004870094,0.003746749,0.002114831,0.001952193,0.001883100
1200001,0.005337260,0.004077231,0.002296877,0.002156919,0.002079803
1300001,0.005783437,0.004442067,0.002497835,0.002381266,0.002289367
1400001,0.006218834,0.004746987,0.002689819,0.002563469,0.002462743
1500001,0.006694139,0.004905597,0.002893810,0.002754412,0.002689536
1600001,0.007077005,0.005358167,0.003042482,0.002942881,0.002867403
1700001,0.007585659,0.005793529,0.003248977,0.003176721,0.003075330
1800001,0.007999136,0.006140335,0.003460493,0.003335014,0.003290643
1900001,0.008489906,0.006446804,0.003656792,0.003516070,0.003460486
2000001,0.008903466,0.006800636,0.003839044,0.003723585,0.003657678
2100001,0.009298762,0.007103019,0.004013691,0.003896799,0.003848950
2200001,0.009832035,0.007201828,0.004229036,0.004093913,0.004047325
2300001,0.010132130,0.007725231,0.004400210,0.004269823,0.004233644
2400001,0.010729144,0.008192621,0.004611449,0.004443590,0.004412937
2500001,0.011070784,0.008512188,0.004791818,0.004639638,0.004593373
2600001,0.011621636,0.008831267,0.004960922,0.004809214,0.004805069
2700001,0.012023421,0.009197494,0.005186611,0.005007343,0.004977844
2800001,0.012463457,0.009515446,0.005340298,0.005179919,0.005174817
2900001,0.012973659,0.009473291,0.005538763,0.005372238,0.005359104
3000001,0.013228784,0.010064609,0.005756065,0.005582643,0.005539703
3100001,0.013835234,0.010568194,0.005941617,0.005758050,0.005705129
3200001,0.014491815,0.010894345,0.006138985,0.005950076,0.005913545
3300001,0.015432510,0.011205865,0.006302091,0.006110693,0.006102207
3400001,0.016046974,0.011566685,0.006516067,0.006309555,0.006288756
3500001,0.016445677,0.011875530,0.006728226,0.006509726,0.006957284
3600001,0.016957672,0.011780920,0.006914688,0.006979813,0.007257096
3700001,0.017348321,0.012463494,0.007117927,0.007529900,0.007442315
3800001,0.017944827,0.012970280,0.007639832,0.007709341,0.007644079
3900001,0.018343718,0.013325679,0.008053937,0.007920545,0.007883724
4000001,0.018820784,0.013987144,0.008385814,0.008123176,0.008058490
4100001,0.019305558,0.014519802,0.008580731,0.008330285,0.008232849
4200001,0.019712592,0.015350081,0.008792624,0.008520120,0.008449992
4300001,0.020325550,0.015409303,0.008983122,0.008711679,0.008650528
4400001,0.020411330,0.016033973,0.009200917,0.008905173,0.008828238
4500001,0.021096947,0.016674172,0.009374440,0.009132342,0.008998541
4600001,0.021179569,0.016997634,0.009527275,0.009348515,0.009115468
4700001,0.021594027,0.017177173,0.009300665,0.009067170,0.008944709
4800001,0.021884767,0.016964944,0.009531374,0.009245454,0.009126108
4900001,0.022045887,0.017252940,0.009564849,0.009199963,0.009123600
5000000,0.022666107,0.017030167,0.009927979,0.009393918,0.009301219
